content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_118ce9aa01e7,0.965385070778308,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,27.6,0.48,5418,13,30.0,0.84,5876.0,154
content_0257ff7dcc14,0.9653402050137171,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,32.2,0.18,8688,10,0.0,0.0,5277.0,148
content_ccae0af6d8a7,0.9652896432865591,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,20.8,0.78,11630,87,0.0,0.0,4373.0,144
content_2fda0de31e1f,0.9652549500342887,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,21.5,0.06,1564,2,0.0,0.0,6892.0,144
content_8e6eeba4a98f,0.9652432858369187,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,40.6,0.0,2205,0,0.0,0.0,5873.0,153
content_589937ecbfc1,0.965242133155247,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.4,0.22,12482,38,0.0,0.0,5770.0,223
content_5744da9b504e,0.9651893351069125,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.2,0.05,3341,2,0.0,0.0,5091.0,148
content_ec184884cd1e,0.965111352914734,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,25.8,0.0,4,0,0.0,0.0,2302.0,92
content_6d394c6cb663,0.9651074100265709,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,32.0,0.07,8493,12,0.0,0.0,5204.0,144
content_f988b4cba4ea,0.9650882796300777,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,40.8,0.01,5112,0,0.0,0.0,6502.0,153
content_fe4b7cc20421,0.9650176305691979,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,45.2,0.02,1820,0,0.0,0.0,4327.0,144
content_3870bd09524b,0.9650157173597119,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,16.2,0.8,8970,94,0.0,0.0,6181.0,144
content_c2c44cbbcdf4,0.9649787251171903,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,8.3,0.0,14,0,0.0,0.0,3392.0,91
